pirate,attack,"",active-learn pirate:strong:79
pirate,hulk,"",active-learn pirate:strong:96
pirate,harpy,"",active-learn pirate:strong:86
pirate,drown,"",active-learn pirate:strong:84
pirate,submerse,"",active-learn pirate:strong:89
pirate,bouncer,"",active-learn pirate:strong:76
pirate,flinders,"",active-learn pirate:strong:75
pirate,growler,"",active-learn pirate:strong:92
pirate,decker,"",active-learn pirate:strong:76
pirate,titania,"",active-learn pirate:strong:83
pirate,lord,"",active-learn pirate:strong:88
pirate,purloin,"",active-learn pirate:strong:84
pirate,paddle,"",active-learn pirate:strong:88
pirate,thatch,"",active-learn pirate:strong:93
pirate,spanish,"",active-learn pirate:strong:91
pirate,booster,"",active-learn pirate:strong:90
pirate,yeoman,"",active-learn pirate:strong:79
pirate,vandalize,"",active-learn pirate:strong:80
pirate,fan,"",active-learn pirate:strong:76
pirate,leaky,"",active-learn pirate:strong:92
pirate,blaster,"",active-learn pirate:strong:84
pirate,sail,"",active-learn pirate:strong:99
pirate,krill,"",active-learn pirate:strong:88
pirate,embark,"",active-learn pirate:strong:89
pirate,popper,"",active-learn pirate:strong:79
pirate,extortion,"",active-learn pirate:strong:94
pirate,transatlantic,"",active-learn pirate:strong:95
pirate,medusa,"",active-learn pirate:strong:87
pirate,sharpie,"",active-learn pirate:strong:87
pirate,miner,"",active-learn pirate:strong:78
pirate,fort,"",active-learn pirate:strong:94
pirate,leopard,"",active-learn pirate:strong:78
pirate,broadcast,"",active-learn pirate:strong:89
pirate,berth,"",active-learn pirate:strong:87
pirate,garb,"",active-learn pirate:strong:85
pirate,skimmer,"",active-learn pirate:strong:78
pirate,content,"",active-learn pirate:strong:75
pirate,hoist,"",active-learn pirate:strong:95
pirate,scamp,"",active-learn pirate:strong:78
pirate,steal,"",active-learn pirate:strong:99
pirate,fin,"",active-learn pirate:strong:76
pirate,poacher,"",active-learn pirate:strong:89
pirate,unscramble,"",active-learn pirate:strong:75
pirate,dune,"",active-learn pirate:strong:79
pirate,sombrero,"",active-learn pirate:strong:93
pirate,theme,"",active-learn pirate:strong:92
pirate,encryption,"",active-learn pirate:strong:89
pirate,replication,"",active-learn pirate:strong:78
pirate,marine,"",active-learn pirate:strong:98
pirate,illicit,"",active-learn pirate:strong:80
pirate,robber,"",active-learn pirate:strong:99
pirate,subversive,"",active-learn pirate:strong:81
pirate,drake,"",active-learn pirate:strong:82
pirate,nerd,"",active-learn pirate:strong:90
pirate,belligerent,"",active-learn pirate:strong:77
pirate,manatee,"",active-learn pirate:strong:93
pirate,clams,"",active-learn pirate:strong:77
pirate,explorer,"",active-learn pirate:strong:90
pirate,conch,"",active-learn pirate:strong:91
pirate,crier,"",active-learn pirate:strong:79
pirate,rigidities,"",active-learn pirate:border:40
pirate,wittering,"",active-learn pirate:border:56
pirate,contest,"",active-learn pirate:border:48
pirate,resupply,"",active-learn pirate:border:42
pirate,mock,"",active-learn pirate:border:49
pirate,sender,"",active-learn pirate:border:49
pirate,impersonation,"",active-learn pirate:border:43
pirate,ghoulish,"",active-learn pirate:border:57
pirate,cases,"",active-learn pirate:border:45
pirate,graft,"",active-learn pirate:border:45
pirate,captivity,"",active-learn pirate:border:55
pirate,deletion,"",active-learn pirate:border:55
pirate,tuner,"",active-learn pirate:border:49
pirate,junker,"",active-learn pirate:border:48
pirate,souse,"",active-learn pirate:border:42
pirate,voodoo,"",active-learn pirate:border:49
pirate,wore,"",active-learn pirate:border:45
pirate,responders,"",active-learn pirate:border:40
pirate,boba,"",active-learn pirate:border:56
pirate,foxy,"",active-learn pirate:border:49
pirate,renaissance,"",active-learn pirate:border:40
pirate,dishonest,"",active-learn pirate:border:53
pirate,businessperson,"",active-learn pirate:border:43
pirate,due,"",active-learn pirate:border:47
pirate,deprive,"",active-learn pirate:border:45
pirate,thematic,"",active-learn pirate:border:57
pirate,snack,"",active-learn pirate:border:45
pirate,embroider,"",active-learn pirate:border:51
pirate,freight,"",active-learn pirate:border:46
pirate,quarries,"",active-learn pirate:border:45
pirate,geranium,"",active-learn pirate:unrel:9
pirate,toccata,"",active-learn pirate:unrel:11
pirate,reporter,"",active-learn pirate:unrel:12
